City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
212,sao joao da barra,-21.6403,-41.0511,25.05,93,98,5.17,BR,1701212845
213,kodiak,57.79,-152.4072,4.73,81,100,5.14,US,1701212846
214,fatezh,52.0891,35.8632,-1.68,90,97,5.1,RU,1701212848
215,harper,4.375,-7.7169,25.98,83,100,2.22,LR,1701212853
216,nsanje,-16.92,35.262,26.27,64,65,1.51,MW,1701212855
217,saint-philippe,-21.3585,55.7679,22.77,83,36,3.91,RE,1701212857
218,labrador city,52.9463,-66.9114,-8.75,93,100,4.52,CA,1701212859
219,south miami heights,25.5976,-80.3806,20.55,64,0,5.66,US,1701212680
220,praia,14.9215,-23.5087,23.3,73,20,3.6,CV,1701212862
221,kone,-21.0595,164.8658,27.71,57,100,0.42,NC,1701212864
222,monroeville,40.4212,-79.7881,-4.46,62,95,1.79,US,1701212632
223,faya-largeau,17.9257,19.1043,24.96,22,2,5.31,TD,1701212867
224,krasnyy kut,50.95,46.9667,-3.1,84,12,2.68,RU,1701212869
225,khunti,23.0833,85.2833,14.06,62,98,1.46,IN,1701212871
226,usinsk,65.9939,57.5281,-10.52,89,100,5.36,RU,1701212873
227,constantia,44.1833,28.65,9.38,86,99,7.68,RO,1701212786
228,arinos,-15.9169,-46.1056,27.93,46,62,1.52,BR,1701212619
229,anton lizardo,19.05,-95.9833,23.45,74,100,8.42,MX,1701212878
230,zlatoust,55.1711,59.6508,-2.79,95,100,0.89,RU,1701212880
231,general pinedo,-27.3167,-61.2833,27.68,71,2,5.37,AR,1701212882
232,touros,-5.1989,-35.4608,26.3,76,100,5.34,BR,1701212678
233,la palma,33.8464,-118.0467,24.37,39,0,4.12,US,1701212885
234,madalena,41.2162,-8.3345,15.32,98,100,2.27,PT,1701212887
235,fuerte olimpo,-21.0415,-57.8738,31.73,47,59,4.17,PY,1701212889
236,china,25.7,-99.2333,12.37,49,100,0.99,MX,1701212812
237,antalaha,-14.9003,50.2788,22.43,83,24,2.39,MG,1701212892
238,kodinsk,58.6881,99.1844,-19.59,99,100,1.39,RU,1701212896
239,sao gabriel da cachoeira,-0.1303,-67.0892,23.23,99,97,0.31,BR,1701212899
240,jesi,43.5288,13.2402,10.74,83,3,1.79,IT,1701212900
241,concordia,-31.393,-58.0209,25.16,76,24,3.28,AR,1701212901
242,amarante do maranhao,-5.5667,-46.7422,28.41,48,89,2.34,BR,1701212903
243,buala,-8.145,159.5921,29.42,71,84,1.19,SB,1701212904
244,lata,40.1629,-8.3327,16.56,96,95,1.95,PT,1701212906
245,beaufort west,-32.3567,22.583,15.08,69,90,2.8,ZA,1701212910
246,alofi,-19.0595,-169.9187,28.94,65,75,4.63,NU,1701212913
247,salym,60.0625,71.4789,-3.54,84,100,3.08,RU,1701212915
248,ambodifotatra,-16.9833,49.85,24.26,81,6,2.99,MG,1701212917
249,turpan,42.9333,89.1667,4.47,39,100,0.71,CN,1701212918
250,kingscliff,-28.2667,153.5667,25.96,100,100,2.57,AU,1701212920
251,flying fish cove,-10.4217,105.6791,26.07,65,97,7.41,CX,1701212922
252,tralee,52.2704,-9.7026,5.49,81,100,0.99,IE,1701212923
253,mount isa,-20.7333,139.5,30.87,58,0,2.57,AU,1701212924
254,nizhneudinsk,54.9076,99.0276,-20.16,96,13,1.28,RU,1701212926
255,santa ana de yacuma,-13.75,-65.4333,27.06,71,86,1.35,BO,1701212927
256,kirakira,-10.4544,161.9205,29.43,76,48,3.94,SB,1701212928
257,kidal,18.4411,1.4078,23.96,12,0,3.78,ML,1701212916
258,berdigestyakh,62.0989,126.6992,-19.44,94,100,4.56,RU,1701212931
259,aytos,42.7,27.25,9.68,81,50,10.02,BG,1701212933
260,talcahuano,-36.7167,-73.1167,13.51,76,1,7.5,CL,1701212934
261,dabat,12.9842,37.765,12.1,50,1,2.85,ET,1701212936
262,watari,38.035,140.8511,4.96,83,79,2.24,JP,1701212938
263,lakatoro,-16.0999,167.4164,28.33,73,95,4.83,VU,1701212940
264,monts,47.2772,0.6247,6.35,88,100,1.03,FR,1701212942
265,severo-yeniseyskiy,60.3725,93.0408,-14.12,85,100,1.34,RU,1701212944
266,san patricio,28.017,-97.5169,15.97,38,70,1.77,US,1701212946
267,rongelap,11.1635,166.8941,27.26,79,85,9.92,MH,1701212949
268,noumea,-22.2763,166.4572,30.99,99,100,2.31,NC,1701212939
269,brookings,44.3114,-96.7984,3.0,60,0,6.17,US,1701212841
270,at taraf,25.3628,49.725,19.3,55,5,5.45,SA,1701212955
271,leeton,-34.5667,146.4,17.27,89,100,4.73,AU,1701212957
272,kalat,29.0225,66.5916,6.27,47,0,0.5,PK,1701212959
273,urangan,-25.3,152.9,23.8,83,35,3.16,AU,1701212962
274,colon,9.3592,-79.9014,24.39,86,63,4.47,PA,1701212963
275,labytnangi,66.6572,66.4183,-10.43,93,100,6.5,RU,1701212964
276,mikomeseng,2.1361,10.6132,20.24,99,86,0.37,GQ,1701212966
277,bakchar,57.0186,82.0711,-11.28,90,52,2.03,RU,1701212968
278,igarka,67.4667,86.5833,-23.9,97,79,2.44,RU,1701212970
279,jabat,7.75,168.9751,27.98,73,81,8.48,MH,1701212973
280,dudinka,69.4058,86.1778,-26.54,100,33,1.42,RU,1701212974
281,vilyuysk,63.7553,121.6247,-17.22,91,64,4.02,RU,1701212976
282,chita,52.0333,113.55,-20.02,64,33,3.0,RU,1701212978
283,richards bay,-28.783,32.0377,23.61,87,100,10.88,ZA,1701212980
284,sinabang,2.4803,96.3801,26.25,84,100,3.28,ID,1701212983
285,valparaiso,-33.0393,-71.6273,18.04,69,20,3.6,CL,1701212837
286,arraial do cabo,-22.9661,-42.0278,23.8,92,97,10.11,BR,1701212988
287,choibalsan,48.0667,114.5,-19.88,83,22,6.07,MN,1701212989
288,kununurra,-15.7667,128.7333,28.99,79,41,2.57,AU,1701212991
289,caleta de carquin,-11.0925,-77.6267,20.58,81,70,4.75,PE,1701212993
290,nuuk,64.1835,-51.7216,2.34,48,100,11.83,GL,1701212994
291,pacific grove,36.6177,-121.9166,18.69,59,0,5.36,US,1701212851
292,hikari,33.955,131.95,9.99,69,62,3.06,JP,1701212997
293,douz,33.4663,9.0203,15.27,27,91,2.86,TN,1701212998
294,alice springs,-23.7,133.8833,25.75,29,100,3.6,AU,1701213001
295,danville,36.586,-79.395,3.36,23,0,2.06,US,1701213002
296,remire-montjoly,4.9167,-52.2667,28.02,78,0,2.57,GF,1701213004
297,barentu,15.1139,37.5928,21.92,49,0,2.6,ER,1701213006
298,shchuchyn,53.6014,24.7465,-5.8,84,100,3.12,BY,1701213008
299,sangerhausen,51.4667,11.3,-3.73,97,48,2.09,DE,1701213010
300,mahanoro,-19.9,48.8,22.83,84,0,3.81,MG,1701213014
301,bikenibeu village,1.3673,173.1241,29.98,79,40,1.54,KI,1701213016
302,inarajan village,13.2736,144.7484,29.66,82,19,9.21,GU,1701213018
303,el nido,11.1858,119.3956,28.08,80,52,7.69,PH,1701213020
304,berezovo,63.9381,65.0419,-5.26,96,100,2.79,RU,1701213021
305,tangalle,6.024,80.7911,24.31,88,100,2.07,LK,1701213023
306,ta`u,-14.2336,-169.5144,27.53,80,100,7.61,AS,1701213024
307,okha,53.5739,142.9478,-11.33,84,92,2.98,RU,1701213026
308,catumbela,-12.4314,13.5472,24.22,93,100,0.92,AO,1701213027
309,bardai,11.65,7.2333,23.95,29,21,3.5,NG,1701213031
310,anadyr,64.75,177.4833,-3.72,86,75,6.0,RU,1701212738
311,box elder,41.5005,-112.8764,-0.12,80,24,0.56,US,1701213035
312,milevsko,49.4509,14.36,-2.19,97,99,2.77,CZ,1701213036
313,mukalla,14.5425,49.1242,24.41,77,87,1.15,YE,1701213038
314,santa maria,-29.6842,-53.8069,19.27,90,79,4.8,BR,1701212993
315,chala,-7.5833,31.2667,14.32,87,77,0.68,TZ,1701212962
316,orange,33.7,-117.7675,24.32,31,0,2.57,US,1701212924
317,itoman,26.1247,127.6694,19.01,68,20,1.54,JP,1701213045
318,fale old settlement,-9.3852,-171.2468,28.44,73,100,5.91,TK,1701213046
319,kamianske,48.5113,34.6021,4.13,89,100,8.31,UA,1701213048
320,oltinko'l,40.8011,72.1634,11.35,35,91,1.78,UZ,1701213049
321,usakos,-22.0,15.6,25.83,42,50,2.98,NA,1701213050
322,diplo,24.4667,69.584,19.65,33,39,3.86,PK,1701213052
323,oriximina,-1.7656,-55.8661,28.46,59,52,1.43,BR,1701213053
324,port douglas,-16.4833,145.4667,28.1,68,81,1.25,AU,1701213055
325,kenai,60.5544,-151.2583,2.83,88,100,3.09,US,1701213056
326,ambatolampy,-19.3833,47.4167,18.47,72,73,1.15,MG,1701213058
327,ghat,24.9647,10.1728,17.49,17,2,1.18,LY,1701213061
328,sao vicente,-23.9631,-46.3919,27.37,26,96,0.45,BR,1701213063
329,verkhnevilyuysk,63.4453,120.3167,-19.4,93,64,3.86,RU,1701213065
330,nogliki,51.8333,143.1667,-14.81,79,100,4.02,RU,1701213067
331,kokpekty,48.75,82.4,-6.96,81,83,1.73,KZ,1701213069
332,ulsteinvik,62.3432,5.8487,-2.6,65,100,4.47,NO,1701213070
333,selfoss,63.9331,-20.9971,1.24,85,100,1.7,IS,1701213072
334,kapuskasing,49.4169,-82.4331,-14.13,95,94,1.23,CA,1701213074
335,haiku-pauwela,20.9219,-156.3051,26.69,79,40,2.06,US,1701213076
336,maintirano,-18.0667,44.0167,27.11,78,67,1.45,MG,1701213078
337,antsiranana,-12.2787,49.2917,24.85,86,70,3.95,MG,1701213079
338,arteche,12.2645,125.4048,26.92,90,100,4.74,PH,1701213081
339,nicoya,10.1483,-85.452,25.81,79,60,4.64,CR,1701213012
340,castillos,-34.1667,-53.8333,19.22,92,66,5.64,UY,1701213084
341,neryungri,56.6709,124.6491,-17.22,93,100,7.68,RU,1701213086
342,margherita,27.2833,95.6833,15.22,71,30,0.97,IN,1701213093
343,griffith,41.5284,-87.4237,-6.04,66,0,5.66,US,1701213094
344,machico,32.7,-16.7667,22.23,82,20,1.03,PT,1701213096
345,brant,43.1334,-80.3497,-3.7,89,98,5.68,CA,1701213099
346,brisas de zicatela,15.8369,-97.0419,28.66,71,57,1.29,MX,1701213101
347,hastings,50.8552,0.5729,5.29,41,12,3.76,GB,1701213104
348,vila franca do campo,37.7167,-25.4333,19.23,99,92,2.02,PT,1701213106
349,port blair,11.6667,92.75,27.81,76,80,6.33,IN,1701213108
350,northam,51.0333,-4.2167,5.77,94,54,1.45,GB,1701213112
351,bodden town,19.2833,-81.25,28.0,83,20,5.14,KY,1701213114
352,kargasok,59.0556,80.8572,-8.91,93,100,4.47,RU,1701213115
353,mariinsk,56.2139,87.7472,-9.28,84,32,4.23,RU,1701213117
354,hamamatsu,34.7,137.7333,11.07,56,0,4.02,JP,1701213119
355,lorient,47.8333,-3.25,3.08,93,75,1.03,FR,1701213121
356,laojunmiao,39.8333,97.7333,-4.8,59,11,2.68,CN,1701213124
357,port lincoln,-34.7333,135.8667,16.77,77,65,7.32,AU,1701213126
358,tura,25.5198,90.2201,17.59,71,96,1.31,IN,1701213055
359,barclayville,4.6797,-8.2339,25.44,85,86,1.29,LR,1701213130
360,hushitai,41.9322,123.5114,-14.05,77,12,3.3,CN,1701213131
361,dauphin,51.1494,-100.0502,-0.76,80,7,6.39,CA,1701213134
362,timaru,-44.4,171.25,11.64,61,100,2.7,NZ,1701213136
363,atafu village,-8.5421,-172.5159,26.44,85,100,6.96,TK,1701213138
364,bou arada,36.3525,9.6218,13.62,76,41,4.58,TN,1701213141
365,daulatpur,26.5015,67.9706,17.95,33,41,2.68,PK,1701213142
366,hirara,24.8,125.2833,22.93,67,1,7.56,JP,1701213144
367,ebon,4.582,168.6964,27.8,80,90,5.66,MH,1701213146
368,konarka,19.9,86.1167,20.22,79,89,1.91,IN,1701213150
369,paita,-5.0892,-81.1144,21.51,77,19,7.98,PE,1701213153
370,siwa oasis,29.2041,25.5195,13.94,53,15,2.23,EG,1701213156
371,inverloch,-38.6333,145.7167,15.11,94,100,11.11,AU,1701213158
372,three rivers,41.9439,-85.6325,-2.94,63,100,3.09,US,1701213159
373,saint-hilaire-de-talmont,46.47,-1.6036,6.01,57,64,0.17,FR,1701213161
374,st. john's,47.5649,-52.7093,9.75,97,100,14.92,CA,1701213143
375,yigo village,13.5361,144.8886,28.74,77,20,9.77,GU,1701213166
376,petropavlovsk-kamchatsky,53.0452,158.6483,-9.19,86,75,4.47,RU,1701213007
377,ghanzi,-21.5667,21.7833,26.95,38,73,5.76,BW,1701213169
378,rio gallegos,-51.6226,-69.2181,13.11,31,73,8.56,AR,1701213171
379,kruisfontein,-34.0033,24.7314,15.38,72,45,8.27,ZA,1701213173
380,buenavista,8.9769,125.4089,25.83,86,51,2.37,PH,1701213175
381,walvis bay,-22.9575,14.5053,17.27,84,23,2.19,NA,1701213177
382,bahia de kino,28.8333,-111.9333,26.62,52,100,3.64,MX,1701213180
383,jiayuguan,39.8167,98.3,-5.67,64,7,2.15,CN,1701213183
384,kisangani,0.5167,25.2,21.37,99,100,0.32,CD,1701213185
385,nyurba,63.2842,118.3319,-18.2,92,74,2.88,RU,1701213186
386,minzhu,43.7286,127.3447,-13.43,88,100,4.05,CN,1701213188
387,cidreira,-30.1811,-50.2056,19.64,91,100,9.8,BR,1701213191
388,yugorsk,61.3133,63.3319,-1.73,98,100,1.27,RU,1701213193
389,soe,-9.8607,124.284,23.96,58,100,0.16,ID,1701213195
390,aykhal,66.0,111.5,-17.13,95,100,6.62,RU,1701213198
391,oranjemund,-28.55,16.4333,16.04,88,87,8.33,NA,1701213201
392,callao,-12.0667,-77.15,24.29,77,20,8.23,PE,1701213202
